Namespace,Controller,Desired_Replicas,CPU_Per_Replica,Mem_GiB_Per_Replica,Desired_CPU_Cores,Desired_Mem_GiB,Pool_Hint
bab-dev-baasplatform-apps-01,Deployment/igcb-itur-api-mpp,1,0.2500,0.9766,0.2500,0.9766,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-itur-api-pulse,1,0.2500,0.9766,0.2500,0.9766,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-itur-api-sb-analytics,1,0.2500,0.9766,0.2500,0.9766,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-itur-api-sb-billing,1,0.2500,0.9766,0.2500,0.9766,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-itur-api-studio,1,0.2500,0.9766,0.2500,0.9766,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-itur-runtime,1,0.2500,1.5000,0.2500,1.5000,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-itur-ui-studio,1,0.2500,0.2441,0.2500,0.2441,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-sdk-runtime,1,0.2500,1.0000,0.2500,1.0000,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-sdk-runtime-api-sb,1,0.2500,1.0000,0.2500,1.0000,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-sdk-runtime-onsite-prod,1,0.2500,1.0000,0.2500,1.0000,SHARED
bab-dev-baasplatform-apps-01,Deployment/igcb-sdk-runtime-sb,1,0.2500,1.0000,0.2500,1.0000,SHARED
bab-dev-cp4i,Deployment/datapower-operator-conversion-webhook,1,0.2500,0.5000,0.2500,0.5000,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-aci,1,0.2500,0.2500,0.2500,0.2500,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-action-center,1,0.2500,0.2500,0.2500,0.2500,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-config-service,1,0.2500,0.2500,0.2500,0.2500,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-corr-new,1,0.2500,0.2500,0.2500,0.2500,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-data-catalog,1,0.2500,0.2500,0.2500,0.2500,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-metadata-search,1,0.2500,0.2500,0.2500,0.2500,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-ml-scheduler,1,0.2500,0.4883,0.2500,0.4883,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-orch,1,0.2500,0.2500,0.2500,0.2500,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-orch2,1,0.2500,0.2500,0.2500,0.2500,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-remediation-batch,1,0.2500,1.0000,0.2500,1.0000,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-remediation-ui-bff,1,0.2500,1.0000,0.2500,1.0000,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-ui,1,0.2500,0.2500,0.2500,0.2500,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-web,1,0.2500,0.4883,0.2500,0.4883,SHARED
bab-dev-web-baas,Deployment/mongodb-8-deployment,1,0.2500,0.5000,0.2500,0.5000,SHARED
devops-gitops,Deployment/openshift-gitops-applicationset-controller,1,0.2500,0.5000,0.2500,0.5000,SHARED
devops-gitops,Deployment/openshift-gitops-dex-server,1,0.2500,0.1250,0.2500,0.1250,SHARED
devops-gitops,Deployment/openshift-gitops-redis,1,0.2500,0.1250,0.2500,0.1250,SHARED
devops-gitops,Deployment/openshift-gitops-repo-server,1,0.2500,0.2500,0.2500,0.2500,SHARED
openshift-gitops,Deployment/cluster,1,0.2500,0.1250,0.2500,0.1250,SHARED
openshift-gitops,Deployment/kam,1,0.2500,0.1250,0.2500,0.1250,SHARED
openshift-gitops,Deployment/openshift-gitops-applicationset-controller,1,0.2500,0.5000,0.2500,0.5000,SHARED
openshift-gitops,Deployment/openshift-gitops-dex-server,1,0.2500,0.1250,0.2500,0.1250,SHARED
openshift-gitops,Deployment/openshift-gitops-redis,1,0.2500,0.1250,0.2500,0.1250,SHARED
openshift-gitops,Deployment/openshift-gitops-repo-server,1,0.2500,0.2500,0.2500,0.2500,SHARED
uipath-argocd,Deployment/argocd-dex-server,1,0.2500,0.1250,0.2500,0.1250,SHARED
uipath-argocd,Deployment/argocd-redis,1,0.2500,0.1250,0.2500,0.1250,SHARED
uipath-argocd,Deployment/argocd-repo-server,1,0.2500,0.2500,0.2500,0.2500,SHARED
bab-dev-dgpdpl-bigid-01,StatefulSet/bigid-cache,1,0.2500,0.5000,0.2500,0.5000,SHARED
bab-dev-dgpdpl-bigid-01,StatefulSet/bigid-elasticsearch,1,0.2500,0.2500,0.2500,0.2500,SHARED
devops-gitops,StatefulSet/openshift-gitops-application-controller,1,0.2500,2.0000,0.2500,2.0000,SHARED
openshift-gitops,StatefulSet/openshift-gitops-application-controller,1,0.2500,1.0000,0.2500,1.0000,SHARED
uipath-argocd,StatefulSet/argocd-application-controller,1,0.2500,3.0000,0.2500,3.0000,SHARED
