"SubscriptionId","VMName","ResourceGroup","OS","ExtensionPresent","ExtensionType","ProvisioningState","ExtensionVersion"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DACRMAPFEWV01","BAB-DEV-CRM-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DACRMAPFEWV02","BAB-DEV-CRM-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DACRMAPIRDWV1","BAB-DEV-CRM-SWEC-RG-01","Windows","Yes","MDE.Windows","Failed","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DACRMCTIDVWV1","BAB-DEV-CRM-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DACRMCTISTWV1","BAB-DEV-CRM-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DTAZRCRMDBWV01","BAB-DEV-CRM-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DTAZRCRMDBWV02","BAB-DEV-CRM-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DTAZRCRMRSWV01","BAB-DEV-CRM-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DTAZRCRMRSWV02","BAB-DEV-CRM-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DTAZRCRMSPWV01","BAB-DEV-CRM-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
"43cc4f11-ffb1-4a0d-8420-0ba3746b4248","DTAZRCRMSPWV02","BAB-DEV-CRM-SWEC-RG-01","Windows","Yes","MDE.Windows","Succeeded","1.0"
